Project_ID,Project_Name,Client_Name,Industry,Delivery_Model,Project_Type,Technology_Stack,Start_Date,Actual_End_Date,Planned_Effort_Hours,Actual_Effort_Hours,Budget_USD,Team_Size,CR_Count,Schedule_Variance_Percent,Cost_Variance_Percent
PRJ0001,Nova_1,Davila-Henson,Retail,Agile,Enhancement,SAP,2025-04-08,2025-10-29,3819,4945,2387433,11,29,-3.41,0.56
PRJ0002,Vertex_2,Mcdaniel-Rose,Manufacturing,Waterfall,Support,NodeJS,2024-07-28,2025-07-24,7575,7559,1775207,29,16,44.87,2.26
PRJ0003,Nova_3,Fitzgerald-Smith,Manufacturing,Waterfall,Migration,React,2023-11-29,2025-02-08,6580,6574,869604,23,31,7.49,32.08
PRJ0004,Phoenix_4,Lee LLC,BFSI,Waterfall,Enhancement,Python,2024-06-01,2025-07-03,17982,18695,2355002,19,34,8.26,32.46
PRJ0005,Helix_5,Alexander-Smith,Energy,Hybrid,Migration,Java,2025-02-21,2026-11-05,20643,26053,1908992,10,23,26.16,22.21
PRJ0006,Titan_6,"Pollard, Bean and Johnson",BFSI,Hybrid,Greenfield,.NET,2023-12-28,2025-08-05,23537,23385,1239655,27,22,39.65,0.06
PRJ0007,Vertex_7,Nichols Ltd,Telecom,Waterfall,Support,SAP,2024-07-08,2026-03-24,24314,24606,1225732,26,17,36.54,0.29
PRJ0008,Phoenix_8,"Ross, Alvarado and Mccoy",Manufacturing,Waterfall,Migration,NodeJS,2022-08-26,2023-10-01,5791,8375,1695421,34,30,9.87,19.36
PRJ0009,Orion_9,Dean-Schmidt,Manufacturing,Hybrid,Greenfield,React,2025-05-11,2026-01-13,19330,27247,2123749,36,17,17.84,2.5
PRJ0010,Orion_10,"Williams, Villarreal and Carroll",Energy,Hybrid,Support,Java,2023-01-14,2024-05-25,24293,21819,2146600,40,4,25.87,5.92
PRJ0011,Nova_11,Smith-Mclean,Healthcare,Waterfall,Greenfield,SAP,2024-04-22,2026-01-15,19442,27181,1520674,13,31,43.14,2.35
PRJ0012,Phoenix_12,"Jones, Castillo and Anthony",Telecom,Hybrid,Support,Python,2024-01-03,2025-08-05,16160,17869,438859,26,11,-1.72,7.45
PRJ0013,Vertex_13,Sanders Inc,Manufacturing,Hybrid,Enhancement,NodeJS,2023-04-14,2024-02-29,17061,23153,1221757,7,13,8.66,25.97
